X,mean_prediction,standard_deviation
0.147922851032981,377.2620201108366,0.0861584643034262
0.148368950995505,378.4061117807141,0.08619211174824527
0.1487524696060681,379.3896820554364,0.08621948801799914
0.1491781503316411,380.4813529666717,0.08624809191435753
0.1495933871352655,381.54620721288666,0.08627408099384128
0.1498913502220283,382.3102962934936,0.08629151219980295
0.1502428171045538,383.21156247936597,0.08631071044778359
0.1505934430528485,384.1106409348722,0.08632834024397093
0.1509473570593704,385.01811621672823,0.08634454386423962
0.1513077675472233,385.9422108093131,0.0863593465444877
0.1516761643917269,386.8867394222034,0.08637265389906969
0.1520532434216654,387.85347992715833,0.08638431593570635
0.1524395160267202,388.8437364959682,0.08639415376772903
0.1528355874463698,389.8590530126239,0.08640197332368463
0.1532419856004554,390.90077415527776,0.08640755849204482
0.1536592764840516,391.9703411087103,0.08641067453000865
0.1540881656792469,393.0695515851112,0.0864110648899207
0.1545293870643267,394.20027434264193,0.08640844600930313
0.1549678288343764,395.32377411161724,0.08640277214126041
0.1553470683522369,396.2954851418326,0.08639536944847409
0.155766286570692,397.36953742883634,0.08638447394684358
0.156190659011137,398.45668957453745,0.08637053062558517
0.1566049281814262,399.51785280831973,0.08635408180633941
0.1569054933389043,400.2876915678644,0.08634039093979895
0.1572621671721971,401.2011650344939,0.08632223048262726
0.1576173989675811,402.11086026762496,0.08630208136316359
0.1579814747681809,403.04311306505406,0.08627930532826726
0.158332933960689,403.942970379474,0.0862552860716488
0.158680099431564,404.8317458339734,0.08622961610235354
0.1590426301651482,405.7597616146086,0.08620076281424667
0.1594156973551362,406.7146438476775,0.08616890919624827
0.1598009720567124,407.70065723323205,0.08613374021561983
0.1602010399979117,408.72440411063144,0.08609480964912662
0.1606102272582927,409.77135076011473,0.08605249389340891
0.1610476725077725,410.8904427503294,0.08600451647951692
0.1615033055214508,412.05588868641644,0.08595160059095239
0.1618517385876637,412.9470092252013,0.08590915602649557
0.1622501812452752,413.96589679291355,0.08585857226649071
0.1626510055310313,414.99072907339723,0.08580553932497807
0.1630594147000932,416.0348017919896,0.08574935441800596
0.1634772062178675,417.1026978541049,0.08568970948920818
0.1639053479286116,418.1968768476945,0.08562639277764005
0.1643276905676665,419.2760616729356,0.08556184328815447
0.1646553741302373,420.1132498481893,0.08551038919719964
0.1650287523780909,421.06705216392584,0.08545035616935118
0.1653999886699395,422.01524439621426,0.08538924999470976
0.165761916594227,422.939527513372,0.08532837480064866
0.1661143246238143,423.8393705077324,0.08526792640369373
0.1664817912568277,424.77752824901836,0.08520372514005756
0.1668626762606222,425.7497958857275,0.08513598814159856
0.1672594642295158,426.7624971482146,0.08506421359802548
0.1676786203168609,427.83210754978063,0.08498714648408504
0.1680922068135013,428.8873231175676,0.0849099459250503
0.1684964860190813,429.9186163330887,0.08483346983666949
0.1688478278145155,430.81472734398267,0.08476626382136022
0.1692325109341645,431.79572482639924,0.08469196592603861
0.1696208760664237,432.78595045459224,0.08461627799214642
0.170016421819507,433.7943175187247,0.08453857411216498
0.1704207984951816,434.82502259606554,0.08445858329967351
0.1708350540946754,435.880724480201,0.0843761530591515
0.1712601197089051,436.9637820716889,0.08429116859375087
0.1716968264910907,438.0762977980048,0.08420353627906887
0.1721396292126604,439.2041329832573,0.08411446499896165
0.1725871694503053,440.34382049962005,0.0840243382899706
0.1729415810871752,441.2461982210807,0.0839529706491432
0.1733397208297747,442.25975339883007,0.08387287634081207
0.1737302568476287,443.2537879188021,0.08379447076617286
0.1741221972292372,444.2512349403405,0.08371601183631039
0.1745193520388391,445.2617876140139,0.0836368163216748
0.1749138509461966,446.26541962979536,0.08355853032204051
0.1752218189178991,447.0487991642585,0.08349772406054429
